IgG4 rank,% Pos,Food,Code
184,0.00%, Flounder,F311
185,0.00%, Haddock,F312
186,0.00%, Sole,F337
187,0.00%, Scallop,F338
188,0.00%," Crab, Alaskan",F339
189,0.00%," Tea, Black",F340
190,0.00%, Dill,F341
191,0.00%, Bay leaf,F347
192,0.00%, Safflower seed,F349
193,0.00%, Mango,F351
194,0.00%, Rosemary,F352
195,0.00%, Pacific Salmon,F353
196,0.00%, Dungeness Crab,F354
197,0.00%," Pea,  Black-Eyed ",F355
198,0.00%, Allspice,F373
199,0.00%, Aniseed,F374
200,0.00%, Carp,F378
201,0.00%, Fennel,F382
202,0.00%, Maple Syrup,F388
203,0.00%, Mussel,F393
204,0.00%, Octopus,F394
205,0.00%, Pike,F396
206,0.00%, Sardine,F398
207,0.00%," Wine, Red",F406
208,0.00%," Wine, White",F407
209,0.00%," Yeast, Wine",F408
210,0.00%," Tea, Camomile",F409
211,0.00%, Venison,F410
212,0.00%, Leek,F414
213,0.00%, Rhubarb,F415
214,0.00%, Rabbit,F416
215,0.00%," Walnut, Mixed",FZ16
216,not tested," Perch, Lake",F120
217,not tested, Macadamia Nut,F363 
